"","pos","neg","year","qrt","econapp","fpapp","approve","gulf","trans","bizexp","bizretr","rass","lewin","favor","qrtunem","annumem","qrtinfl","annuminfl","bushjr","clinton","bushsr","reagan","carter","t","tt"
"67",0,0,1993,4,40.8899993896484,38.4000015258789,48,0,0,95,102,0,0,53.1189994812012,6.59999990463257,6.90000009536743,2.70000004768372,2.99000000953674,0,1,0,0,0,100,67
"68",0,0,1994,1,46.2900009155273,43.8899993896484,53.1100006103516,0,0,123,125,0,0,52.0429992675781,6.59999990463257,6.09999990463257,2.5,2.55999994277954,0,1,0,0,0,100,68
"69",1,0,1994,2,44.8600006103516,38.9900016784668,48.939998626709,0,0,116,123,0,0,55.689998626709,6.19999980926514,6.09999990463257,2.40000009536743,2.55999994277954,0,1,0,0,0,100,69
"70",0,0,1994,3,41.9300003051758,33.8600006103516,41.7200012207031,0,0,109,123,0,0,42.3170013427734,6,6.09999990463257,2.90000009536743,2.55999994277954,0,1,0,0,0,100,70
"71",0,0,1994,4,40.189998626709,40.3699989318848,43.060001373291,0,0,120,127,0,0,45.1419982910156,5.59999990463257,6.09999990463257,2.70000004768372,2.55999994277954,0,1,0,0,0,100,71
"72",0,0,1995,1,43.4000015258789,45.2700004577637,44.3300018310547,0,0,118,127,0,0,49.2389984130859,5.5,5.59999990463257,2.90000009536743,2.82999992370605,0,1,0,0,0,100,72
"73",1,1,1995,2,42.0900001525879,41.4500007629395,46.6699981689453,0,0,113,116,0,0,48.1710014343262,5.69999980926514,5.59999990463257,3.09999990463257,2.82999992370605,0,1,0,0,0,100,73
"74",0,0,1995,3,42.3600006103516,37.6800003051758,47.3300018310547,0,0,118,119,0,0,48.048999786377,5.69999980926514,5.59999990463257,2.59999990463257,2.82999992370605,0,1,0,0,0,100,74
"75",0,2,1995,4,44.5099983215332,42.2200012207031,49.6699981689453,0,0,113,112,0,0,49.9290008544922,5.59999990463257,5.59999990463257,2.59999990463257,2.82999992370605,0,1,0,0,0,100,75
"76",0,0,1996,1,43.9700012207031,47.8600006103516,50.3300018310547,0,0,113,104,0,0,54.7910003662109,5.5,5.40000009536743,2.70000004768372,2.95000004768372,0,1,0,0,0,100,76
"77",0,1,1996,2,45.9900016784668,49.0999984741211,53.6699981689453,0,0,115,109,0,0,54.3489990234375,5.5,5.40000009536743,2.90000009536743,2.95000004768372,0,1,0,0,0,100,77
"78",1,1,1996,3,51.7900009155273,50.939998626709,55.3300018310547,0,0,123,122,0,0,53.3899993896484,5.30000019073486,5.40000009536743,3,2.95000004768372,0,1,0,0,0,100,78
"79",0,0,1996,4,54.3800010681152,51.9300003051758,55,0,0,133,128,0,0,54.4189987182617,5.30000019073486,5.40000009536743,3.20000004768372,2.95000004768372,0,1,0,0,0,100,79
"80",0,0,1997,1,55.6500015258789,48.189998626709,58.6699981689453,0,0,136,137,0,0,55.6269989013672,5.19999980926514,4.90000009536743,2.90000009536743,2.28999996185303,0,1,0,0,0,100,80
"81",0,0,1997,2,56.7700004577637,52.0099983215332,55.3300018310547,0,0,140,134,0,0,53.931999206543,5,4.90000009536743,2.29999995231628,2.28999996185303,0,1,0,0,0,100,81
"82",0,0,1997,3,53.0499992370605,50.4000015258789,58.6699981689453,0,0,150,147,0,0,54.9000015258789,4.90000009536743,4.90000009536743,2.20000004768372,2.28999996185303,0,1,0,0,0,100,82
"83",0,1,1997,4,61.3400001525879,52.560001373291,58.6699981689453,0,0,149,140,0,0,54.648998260498,4.69999980926514,4.90000009536743,1.89999997615814,2.28999996185303,0,1,0,0,0,100,83
"84",0,0,1998,1,69.0899963378906,60.6500015258789,66.3300018310547,0,0,154,146,0,1,54.0330009460449,4.59999990463257,4.5,1.39999997615814,1.55999994277954,0,1,0,0,0,100,84
"85",0,0,1998,2,68.2600021362305,55.1199989318848,62.3300018310547,0,0,157,147,0,0,54.2109985351562,4.40000009536743,4.5,1.60000002384186,1.55999994277954,0,1,0,0,0,100,85
"86",1,3,1998,3,70.7900009155273,58.9700012207031,64.3300018310547,0,0,140,138,0,0,48.8240013122559,4.5,4.5,1.60000002384186,1.55999994277954,0,1,0,0,0,100,86
"87",1,2,1998,4,70.3600006103516,68.129997253418,68.3300018310547,0,0,128,122,0,0,49.0169982910156,4.40000009536743,4.5,1.5,1.55999994277954,0,1,0,0,0,100,87
"88",NA,NA,1999,1,75.7900009155273,56.4099998474121,65.6699981689453,0,0,145,147,0,0,48.3730010986328,4.30000019073486,4.19999980926514,1.70000004768372,2.21000003814697,0,1,0,0,0,100,88
"89",NA,NA,1999,2,72.120002746582,52.7999992370605,56.6699981689453,0,0,144,149,0,0,51.0200004577637,4.30000019073486,4.19999980926514,2.09999990463257,2.21000003814697,0,1,0,0,0,100,89
"90",NA,NA,1999,3,70.8600006103516,54.060001373291,61,0,0,146,141,0,0,49.6139984130859,4.19999980926514,4.19999980926514,2.29999995231628,2.21000003814697,0,1,0,0,0,100,90
"91",NA,NA,1999,4,68.3600006103516,55.0099983215332,58.3300018310547,0,0,145,145,0,0,47.0900001525879,4.09999990463257,4.19999980926514,2.59999990463257,2.21000003814697,0,1,0,0,0,100,91
"92",NA,NA,2000,1,70.1500015258789,55.939998626709,62.5999984741211,0,0,0,0,0,0,47.5299987792969,4,4,3.20000004768372,3.35999989509583,0,1,0,0,0,100,92
"93",NA,NA,2000,2,65.2699966430664,51.1100006103516,57.7999992370605,0,0,0,0,0,0,47.0699996948242,3.90000009536743,4,3.29999995231628,3.35999989509583,0,1,0,0,0,100,93
"94",NA,NA,2000,3,70.1500015258789,62.4700012207031,59,0,0,0,0,0,0,46.0169982910156,4,4,3.5,3.35999989509583,0,1,0,0,0,100,94
"95",NA,NA,2000,4,70.879997253418,60.7900009155273,58.5999984741211,0,0,0,0,0,0,49.9900016784668,3.90000009536743,4,3.40000009536743,3.35999989509583,0,1,0,0,0,100,95
"96",NA,NA,2001,1,54.2299995422363,51.4900016784668,60.5,0,1,0,0,0,0,52.7159996032715,4.19999980926514,4.69999980926514,3.40000009536743,2.84999990463257,1,0,0,0,0,100,96
"97",NA,NA,2001,2,48.560001373291,50.7799987792969,56.2999992370605,0,0,0,0,0,0,51.8289985656738,4.40000009536743,4.69999980926514,3.40000009536743,2.84999990463257,1,0,0,0,0,100,97
"98",NA,NA,2001,3,43.3499984741211,48.7299995422363,67,0,0,0,0,0,0,52.7060012817383,4.80000019073486,4.69999980926514,2.70000004768372,2.84999990463257,1,0,0,0,0,100,98
"99",NA,NA,2001,4,62.2299995422363,72.0999984741211,87,0,0,0,0,0,0,72.931999206543,5.5,4.69999980926514,1.89999997615814,2.84999990463257,1,0,0,0,0,100,99
"100",NA,NA,2002,1,56.8400001525879,71.1699981689453,83.5,0,0,0,0,0,0,71.6760025024414,5.69999980926514,5.80000019073486,1.20000004768372,1.58000004291534,1,0,0,0,0,100,100
